Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
BW,6,15,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,1,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,2,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,3,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,4,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,5,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,6,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,7,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,8,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,9,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,10,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,11,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,12,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,13,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,14,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,7,15,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,1,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,2,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,3,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,4,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,5,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,6,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,7,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,8,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,9,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,10,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,11,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,12,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,13,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,14,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,8,15,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,1,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
