Instance,N,K,Transitions,States,Time(ms),Failed,Features Vectors
DP,4,6,4406,3853,62665.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 214959112, 216007688, 130064386, 81789960, 62947458, 117465104, 50356240, 117457936, 50349072, 117466128, 236994832, 117457168, 50357264, 253772048, 50348304, 115343620, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 62914624, 249569344, 48242752, 216006976, 102785040, 216007232, 48235072, 115351616, 102777104, 266346560, 169885968, 237003792, 169894928, 102786064}"
DP,4,7,4886,4333,77836.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 214959112, 216007688, 130064386, 81789960, 62947458, 117465104, 50356240, 117457936, 50349072, 117466128, 236994832, 117457168, 50348304, 253772048, 102777104, 115343620, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 62914624, 249569344, 48242752, 115351616, 216006976, 102785040, 216007232, 48235072, 266346560, 50357264, 237003792, 102786064, 169894928}"
DP,4,8,5001,4501,81059.0,True,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 214959112, 216007688, 130064386, 81789960, 62947458, 117465104, 50356240, 117457936, 50349072, 117466128, 236994832, 117457168, 50348304, 253772048, 102777104, 115343620, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 62914624, 249569344, 48242752, 115351616, 216006976, 102785040, 216007232, 48235072, 266346560, 50357264, 237003792, 102786064, 169894928}"
DP,4,9,5001,5001,9999,True,set()
DP,4,10,5001,5001,9999,True,set()
DP,4,11,5001,5001,9999,True,set()
DP,4,12,5001,5001,9999,True,set()
DP,4,13,5001,5001,9999,True,set()
DP,4,14,5001,5001,9999,True,set()
DP,4,15,5001,5001,9999,True,set()
DP,5,2,5001,4095,310739.0,True,"{130025473, 115345409, 62947842, 130023556, 130023940, 62947458, 130023684, 130025480, 130024456, 81789960, 216007688, 214959112, 130064386, 117465104, 117457936, 50349072, 50356240, 236994832, 117457168, 50348304, 102777104, 117466128, 253772048, 115343620, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 216007232, 249569344, 48242752, 115351616, 266346560, 216006976, 81789248, 266338880, 249561664, 65019968, 102786064, 50357264}"
DP,5,3,5001,5001,9999,True,set()
DP,5,4,5001,5001,9999,True,set()
DP,5,5,5001,5001,9999,True,set()
DP,5,6,5001,5001,9999,True,set()
DP,5,7,5001,5001,9999,True,set()
DP,5,8,5001,5001,9999,True,set()
DP,5,9,5001,5001,9999,True,set()
DP,5,10,5001,5001,9999,True,set()
DP,5,11,5001,5001,9999,True,set()
DP,5,12,5001,5001,9999,True,set()
DP,5,13,5001,5001,9999,True,set()
DP,5,14,5001,5001,9999,True,set()
DP,5,15,5001,5001,9999,True,set()
DP,6,2,5001,4215,385093.0,True,"{130025473, 115345409, 130056322, 130023556, 130023940, 62914692, 62947842, 130025480, 130024456, 216007688, 130023684, 81789960, 130064386, 214959112, 62947458, 117465104, 117457936, 50349072, 50356240, 236994832, 117457168, 102786064, 50348304, 117466128, 50357264, 130056706, 266338564, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 216006976, 81789248, 216007232, 249569344, 48242752, 115351616, 182460480, 266340353, 62914624, 62915136, 81789504, 266346560, 253772048}"
DP,6,3,5001,5001,9999,True,set()
DP,6,4,5001,5001,9999,True,set()
DP,6,5,5001,5001,9999,True,set()
DP,6,6,5001,5001,9999,True,set()
DP,6,7,5001,5001,9999,True,set()
DP,6,8,5001,5001,9999,True,set()
DP,6,9,5001,5001,9999,True,set()
DP,6,10,5001,5001,9999,True,set()
DP,6,11,5001,5001,9999,True,set()
DP,6,12,5001,5001,9999,True,set()
DP,6,13,5001,5001,9999,True,set()
DP,6,14,5001,5001,9999,True,set()
DP,6,15,5001,5001,9999,True,set()
DP,7,2,5001,4138,376238.0,True,"{130025473, 115345409, 62947458, 130023556, 130023940, 130023684, 62947842, 130025480, 130024456, 216007688, 81789960, 214959112, 62914692, 130064386, 130056322, 117465104, 117457936, 50349072, 50356240, 117466128, 236994832, 117457168, 253772048, 50348304, 102777104, 130056706, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 249569344, 48242752, 216007232, 81789504, 266346560, 216006976, 115351616, 81789248, 62915136, 182460480, 132128832, 102786064}"
DP,7,3,5001,5001,9999,True,set()
DP,7,4,5001,5001,9999,True,set()
DP,7,5,5001,5001,9999,True,set()
DP,7,6,5001,5001,9999,True,set()
DP,7,7,5001,5001,9999,True,set()
DP,7,8,5001,5001,9999,True,set()
DP,7,9,5001,5001,9999,True,set()
DP,7,10,5001,5001,9999,True,set()
DP,7,11,5001,5001,9999,True,set()
DP,7,12,5001,5001,9999,True,set()
DP,7,13,5001,5001,9999,True,set()
